Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
9MBOTA,45,B/9M-0001,Penang War Museum (bunker),Unknown,5.28159,100.28883,OJ05DG
9MBOTA,45,B/9M-0002,Ipoh Airport (bunker),Unknown,4.57016,101.10203,OJ04NN
9MBOTA,45,B/9M-0003,Kota Kuala Muda Pillbox (bunker),Unknown,5.67291,100.37066,OJ05EQ
9MBOTA,45,B/9M-0004,Mount Erskine (bunker),Unknown,5.44229,100.30314,OJ05DK
9MBOTA,45,B/9M-0005,Teluk Kumbar Pillbox (bunker),Unknown,5.29116,100.23274,OJ05CG
9MBOTA,45,B/9M-0006,Banding Memorial Gallery (bunker),Unknown,5.54338,101.34091,OJ05QN
9MBOTA,45,B/9M-0007,Kelantan Riverbank (bunker),Unknown,6.13096,102.23400,OJ16CD
9MBOTA,45,B/9M-0008,Kudat Pinangsoo Cave (bunker),Unknown,6.93147,116.80794,OJ86JW
9MBOTA,45,B/9M-0009,Gunung Panti (bunker),Unknown,1.88449,103.91710,OJ11XV
9MBOTA,45,B/9M-0010,Tanjung Pengelih (bunker),Unknown,1.36863,104.08963,OJ21BI
9MBOTA,45,B/9M-0011,Pantai Pelindung  (bunker),Unknown,3.82800,103.37516,OJ13QT
9MBOTA,45,B/9M-0012,Pantai Beserah (bunker),Unknown,3.89689,103.36615,OJ13QV
9MBOTA,45,B/9M-0013,Pantai Teluk Cempedak (bunker),Unknown,3.81406,103.37213,OJ13QT
9MBOTA,45,B/9M-0014,Pantai Merdeka (bunker),Unknown,5.67178,100.37035,OJ05EQ
9MBOTA,45,B/9M-0015,Green Ridge (bunker),Unknown,4.33231,101.15545,OJ04NH
9MBOTA,45,B/9M-0016,Pantai Chap  (bunker),Unknown,6.03718,102.41285,OJ16EA
9MBOTA,45,B/9M-0017,Pantai Kundur (bunker),Unknown,6.20663,102.25350,OJ16DE
9MBOTA,45,B/9M-0018,Reservoir Park (bunker),Unknown,1.55321,110.34610,OJ51EN
9MBOTA,45,B/9M-0019,Pantai Perupok (bunker),Unknown,6.08947,102.39218,OJ16EC
9MBOTA,45,B/9M-0020,Dataran Kubu Pengkalan Attap (bunker),Unknown,5.83607,102.54937,OJ15GU
9MBOTA,45,B/9M-0021,Laman Kubu British 1939 (bunker),Unknown,1.72671,103.89232,OJ11WR
9MBOTA,45,B/9M-0022,Kampung Bohor (bunker),Unknown,6.17115,100.40360,OJ06EE
9MBOTA,45,B/9M-0023,Pillbox Kampung Baung (bunker),Unknown,6.16102,102.27662,OJ16DD
9MBOTA,45,B/9M-0024,Kampung Lalang Luas (bunker),Unknown,5.81774,102.20129,OJ15CT
9MBOTA,45,B/9M-0025,Dataran Kubu Kuala Gel (bunker),Unknown,6.00141,102.42981,OJ16FA
9MBOTA,45,B/9M-0026,Dutch Fort Pulau Pangkor (bunker),Unknown,4.20286,100.57540,OJ04GE
9MBOTA,45,B/9M-0027,Fort Margherita (The Brooke Gallery) (bunker),Unknown,1.56078,110.34943,OJ51EN
